name,industry,current_price,sales,operating_profit,profit_after_tax,net_profit,opm,eps,return_on_capital_employed,roce3yr_avg,sales_growth_3years,sales_growth_5years,profit_growth_3years,profit_growth_5years,eps_growth_3years,eps_growth_5years,sales_growth_10years,profit_growth_10years,eps_growth_10years,debt,net_worth,current_ratio,interest_coverage_ratio,working_capital,cash_equivalents,total_assets,debt_to_profit,leverage,altman_z_score,market_capitalization,price_to_sales,price_to_cash_flow,price_to_free_cash_flow,peg_ratio,evebitda,market_cap_to_sales,enterprise_value_to_ebit,intrinsic_value,graham
MSR India,Mining / Minerals / Metals,9.0,0.0,-4.0,-5.0,1.0,,0.0,-16.29,-15.6,,,23.0,,23.0,,,,,8.0,15.0,0.16,-15.97,-2.0,0.0,25.0,8.31,2.15,3.8,58.0,,-18.25,5.22,,-14.94,,-14.1,2.0,3.0
MSTC,Trading,856.0,751.0,154.0,204.0,204.0,20.54,29.0,34.66,34.55,-1.0,-26.0,22.0,22.0,22.0,22.0,-18.0,9.0,-12.0,145.0,889.0,1.39,830.71,635.0,1148.0,2249.0,0.71,2.78,5.97,6025.0,7.95,-19.11,31.35,1.35,13.6,7.95,14.57,327.0,287.0
MT Educare,Miscellaneous,3.0,47.0,-8.0,-28.0,-28.0,-16.54,-4.0,-8.38,-10.1,-14.0,-27.0,4.0,,4.0,,-14.0,,,135.0,29.0,0.52,-1.17,4.0,10.0,291.0,-4.88,9.95,0.29,24.0,0.51,-11.97,29.74,,-39.29,0.51,-10.54,,
MTAR Technologie,Engineering,1851.0,580.0,112.0,56.0,56.0,19.25,18.0,11.7,16.51,33.0,26.0,7.0,8.0,7.0,6.0,19.0,41.0,40.0,190.0,677.0,2.75,4.3,452.0,51.0,1006.0,3.38,1.53,11.42,5693.0,9.81,102.71,-67.7,12.44,49.39,9.81,61.11,467.0,301.0
Mudunuru,Computers - Software - Medium / Small,10.0,3.0,-3.0,-3.0,-3.0,-93.1,-1.0,-85.19,-75.87,-11.0,-20.0,,,,,-10.0,,,3.0,2.0,0.95,-14.95,1.0,0.0,6.0,-0.99,3.26,7.35,29.0,10.51,-6.06,-12.56,,-12.6,10.51,-11.12,,
Mufin Green,Finance & Investments,120.0,98.0,68.0,16.0,16.0,69.33,1.0,10.48,10.27,62.0,96.0,-6.0,43.0,-11.0,,,,,640.0,244.0,7.64,1.49,246.0,251.0,926.0,39.85,2.71,4.21,1846.0,18.84,-5.14,-9.26,2.59,32.6,18.84,33.73,45.0,19.0
Mukand,Steel - Large,164.0,5175.0,292.0,103.0,103.0,5.64,7.0,10.82,3.56,24.0,7.0,28.0,24.0,28.0,23.0,7.0,14.0,13.0,1489.0,921.0,3.72,1.96,1798.0,53.0,3046.0,14.5,3.38,4.33,2368.0,0.45,35.77,16.66,0.96,12.2,0.45,14.55,60.0,101.0
Mukat Pipes,Steel - Medium / Small,15.0,6.0,0.0,0.0,0.0,0.95,0.0,,0.0,1.0,-5.0,75.0,23.0,75.0,23.0,4.0,10.0,9.0,4.0,-7.0,1.21,2.93,0.0,2.0,5.0,11.83,-0.7,4.91,18.0,2.66,12.66,30.56,2.39,32.61,2.66,42.25,,
Mukesh Babu Fin.,Finance & Investments,136.0,17.0,10.0,6.0,6.0,57.12,8.0,3.62,3.04,-32.0,-3.0,-24.0,5.0,-24.0,5.0,2.0,-3.0,-3.0,30.0,284.0,31.41,4.37,221.0,10.0,392.0,5.03,1.19,2.2,95.0,5.6,-27.08,48.13,3.24,10.69,5.6,10.86,357.0,279.0
Mukka Proteins,Food - Processing - Indian,35.0,1380.0,105.0,70.0,74.0,7.64,2.0,18.9,19.94,32.0,28.0,123.0,39.0,,,,,,365.0,396.0,1.57,4.48,654.0,127.0,941.0,4.92,1.91,5.09,1062.0,0.77,-7.04,-13.57,0.39,10.39,0.77,11.53,52.0,26.0
Mukta Agricultur,Trading,4.0,0.0,-0.0,0.0,-2.0,,-1.0,0.29,8.78,,,26.0,,26.0,,,-6.0,-6.0,1.0,22.0,133.0,,3.0,0.0,23.0,-0.56,1.09,2.1,9.0,,-31.88,-126.06,,146.71,,146.71,,
Mukta Arts,Entertainment / Electronic Media Software,70.0,195.0,14.0,-7.0,-7.0,7.25,-3.0,9.07,6.52,39.0,4.0,14.0,,14.0,,-4.0,2.0,2.0,96.0,-28.0,0.46,0.57,-50.0,11.0,224.0,-14.37,-8.43,1.68,158.0,0.81,15.12,18.08,,8.62,0.81,28.93,,
Muller & Phipps,Trading,293.0,4.0,-0.0,0.0,1.0,-1.21,12.0,,0.0,1.0,2.0,-6.0,11.0,-6.0,11.0,1.0,13.0,13.0,1.0,-1.0,0.6,6.17,-1.0,0.0,5.0,1.07,-3.88,6.0,18.0,4.42,24.42,51.71,5.21,48.89,4.42,50.22,,
Multi Comm. Exc.,Miscellaneous,3895.0,684.0,63.0,83.0,83.0,9.19,16.0,7.15,11.58,21.0,18.0,-23.0,-12.0,-23.0,-12.0,7.0,-4.0,-4.0,2.0,1378.0,1.22,378.7,267.0,966.0,3409.0,0.02,2.33,10.3,19865.0,29.1,38.19,78.79,-20.32,136.98,29.1,185.11,595.0,315.0
Multibase India,Plastics Products,263.0,65.0,8.0,11.0,11.0,12.88,9.0,11.59,9.99,7.0,-10.0,18.0,-6.0,18.0,-6.0,2.0,8.0,8.0,0.0,135.0,17.24,151.0,124.0,111.0,144.0,0.0,1.05,6.74,332.0,5.03,71.49,72.88,-4.71,13.35,5.03,14.24,96.0,146.0
Multipurpose Trd,Finance & Investments,9.0,0.0,0.0,0.0,0.0,62.86,0.0,4.44,4.2,0.0,11.0,34.0,31.0,34.0,31.0,,19.0,8.0,0.0,5.0,4.6,22.0,0.0,0.0,5.0,0.68,1.01,2.95,4.0,12.37,-30.63,-21.09,0.74,19.59,12.37,19.59,6.0,9.0
Munjal Auto Inds,Auto Ancillaries,89.0,1882.0,120.0,45.0,38.0,6.4,4.0,14.77,11.53,-4.0,9.0,30.0,4.0,30.0,4.0,,,,276.0,401.0,1.32,3.66,291.0,12.0,1218.0,7.27,3.1,3.74,895.0,0.48,7.03,10.04,4.72,7.4,0.48,11.5,40.0,59.0
Munjal Showa,Auto Ancillaries,158.0,1173.0,15.0,32.0,31.0,1.32,8.0,5.71,3.89,3.0,-7.0,12.0,-9.0,12.0,-9.0,-3.0,-7.0,-7.0,0.0,664.0,4.15,3757.0,425.0,18.0,811.0,0.0,1.22,4.64,633.0,0.55,56.01,78.1,-2.24,12.46,0.55,16.54,101.0,170.0
Munoth Capital,Finance & Investments,100.0,0.0,-1.0,-0.0,-0.0,-554.55,-0.0,-4.15,-2.26,-28.0,-18.0,,,,,-13.0,,,0.0,6.0,29.5,,1.0,0.0,6.0,-0.18,1.02,26.81,92.0,833.27,-56.1,-140.82,,-436.38,833.27,-416.55,,
Munoth Commun.,Trading,11.0,0.0,-0.0,-0.0,-0.0,,-0.0,0.25,-3.57,,,7.0,8.0,7.0,8.0,,,,2.0,14.0,0.49,0.29,1.0,0.0,16.0,-4.97,1.14,2.35,11.0,,-45.41,-49.74,,172.29,,301.5,,
Munoth Fin.Serv.,Finance & Investments,64.0,1.0,0.0,0.0,0.0,19.05,0.0,1.71,-0.18,24.0,21.0,57.0,18.0,57.0,18.0,-1.0,13.0,13.0,1.0,11.0,0.74,,-0.0,0.0,14.0,3.16,1.2,4.91,33.0,31.16,-54.1,-57.62,9.64,158.43,31.16,175.11,15.0,13.0
Murae Organisor,Trading,2.0,3.0,-1.0,0.0,0.0,-44.49,0.0,0.79,8.26,-60.0,-45.0,-18.0,-50.0,-12.0,-72.0,,,,0.0,56.0,1.87,1.27,56.0,12.0,120.0,0.0,1.33,1.74,37.0,14.69,-2.34,-8.31,-14.81,65.64,14.69,77.58,0.0,0.0
Murudesh.Ceramic,Ceramics - Tiles / Sanitaryware,51.0,186.0,30.0,5.0,5.0,16.15,1.0,4.77,4.48,33.0,8.0,34.0,2.0,33.0,-3.0,3.0,17.0,12.0,110.0,365.0,1.38,2.04,111.0,14.0,548.0,21.5,1.49,2.55,309.0,1.66,9.99,-354.17,36.66,11.71,1.66,17.94,27.0,34.0
Music Broadcast,Entertainment / Electronic Media Software,16.0,229.0,33.0,7.0,7.0,14.51,0.0,3.62,1.2,21.0,-7.0,31.0,-34.0,31.0,-34.0,4.0,-12.0,-14.0,106.0,532.0,4.13,2.3,141.0,35.0,681.0,15.56,1.26,3.1,555.0,2.45,20.47,28.79,-2.39,11.22,2.45,27.68,8.0,8.0
Muthoot Cap.Serv,Finance & Investments,308.0,398.0,234.0,51.0,123.0,58.71,75.0,10.15,8.34,-8.0,-5.0,-0.0,-10.0,-0.0,-10.0,10.0,8.0,6.0,1660.0,612.0,7.14,1.41,244.0,248.0,2314.0,13.53,3.88,1.35,507.0,1.27,-70.89,105.0,-0.99,8.09,1.27,8.12,535.0,790.0
Muthoot Finance,Finance & Investments,1802.0,12635.0,10110.0,4050.0,4050.0,80.02,101.0,13.13,13.11,6.0,13.0,3.0,15.0,3.0,15.0,10.0,18.0,17.0,58783.0,24290.0,2.79,2.17,3357.0,5046.0,85028.0,14.52,3.25,2.35,72352.0,5.73,-7.78,-17.12,1.15,12.4,5.73,12.48,1813.0,1172.0
Muthoot Microfin,Finance & Investments,241.0,2270.0,1485.0,450.0,450.0,65.42,26.0,14.95,11.57,49.0,25.0,300.0,17.0,250.0,8.0,,,,8524.0,2804.0,7.84,1.66,1622.0,1579.0,11590.0,18.96,3.59,1.69,4114.0,1.81,-1.93,-2.2,0.52,7.37,1.81,7.54,744.0,312.0
Mysore Petro,Trading,178.0,28.0,-7.0,7.0,7.0,-24.42,11.0,4.22,13.35,7.0,-3.0,63.0,-17.0,63.0,-17.0,,,,20.0,220.0,1.41,33.21,11.0,6.0,304.0,2.96,1.28,1.86,117.0,4.13,-7.0,-18.15,-1.01,12.44,4.13,13.47,217.0,292.0
Mystic Electron.,Trading,4.0,0.0,-0.0,0.0,-1.0,,-1.0,1.09,4.16,,,36.0,43.0,36.0,43.0,,2.0,3.0,1.0,28.0,807.0,,8.0,0.0,29.0,-0.81,1.07,2.17,8.0,,-12.23,34.64,0.68,29.22,,29.22,,
N D Metal Inds.,Mining / Minerals / Metals,110.0,0.0,-0.0,0.0,0.0,-833.33,1.0,4.42,2.96,-69.0,-61.0,35.0,-11.0,35.0,-11.0,-13.0,,,0.0,4.0,21.53,,3.0,0.0,14.0,3.85,3.64,3.79,27.0,454.67,-2750.0,17.82,-19.47,84.15,454.67,146.16,8.0,14.0
N G Industries,Healthcare,172.0,17.0,2.0,5.0,5.0,11.61,15.0,17.76,11.67,12.0,-1.0,99.0,29.0,99.0,29.0,2.0,12.0,12.0,1.0,36.0,1.32,293.5,2.0,2.0,40.0,0.23,0.98,4.56,58.0,3.41,-57.33,-113.92,0.4,8.72,3.41,9.61,141.0,191.0
N K Industries,Solvent Extraction,51.0,2.0,1.0,-1.0,-1.0,47.5,-2.0,,0.0,1.0,-65.0,14.0,14.0,14.0,14.0,-39.0,6.0,6.0,0.0,-343.0,8.15,,23.0,1.0,291.0,0.0,-0.85,-1.39,31.0,12.79,340.67,438.0,,18.38,12.79,-23.15,,
N R Agarwal Inds,Paper,507.0,1293.0,176.0,125.0,125.0,13.62,74.0,13.86,17.63,4.0,-0.0,30.0,6.0,30.0,6.0,9.0,74.0,74.0,579.0,760.0,1.6,14.06,247.0,18.0,1567.0,4.62,1.71,2.89,863.0,0.67,6.38,-8.38,1.24,7.67,0.67,9.61,909.0,861.0
N2N Technologies,Computers - Software - Medium / Small,24.0,2.0,-0.0,-0.0,-0.0,-1.24,-0.0,-0.65,-19.42,,,26.0,12.0,26.0,12.0,33.0,7.0,7.0,0.0,6.0,0.21,,-1.0,0.0,6.0,-7.33,1.17,3.2,8.0,4.73,-251.73,-251.73,,-392.0,4.73,-196.0,,
Naapbooks,Computers - Software - Medium / Small,64.0,8.0,3.0,2.0,2.0,36.42,2.0,27.98,16.8,42.0,29.0,52.0,64.0,16.0,,,,,2.0,16.0,4.9,15.67,9.0,0.0,19.0,1.1,1.34,7.29,57.0,7.4,-15.42,-25.26,0.54,20.86,7.4,25.21,59.0,28.0
NACL Industries,Pesticides / Agrochemicals - Indian,75.0,1779.0,17.0,-59.0,-59.0,0.96,-3.0,-0.04,10.21,14.0,16.0,,,,,11.0,,,789.0,511.0,1.13,-0.01,785.0,66.0,1818.0,-13.4,3.65,3.21,1496.0,0.84,29.79,-10.81,,83.44,0.84,-3835.36,,
Nag. Agri Tech.,Miscellaneous,19.0,2.0,-1.0,-0.0,4.0,-25.51,4.0,-9.43,-10.22,12.0,-4.0,21.0,,21.0,,32.0,0.0,0.0,0.0,7.0,1.65,,1.0,1.0,9.0,0.0,0.97,4.5,18.0,7.13,294.69,8.11,,-44.83,7.13,-35.87,15.0,25.0
Naga Dhunseri,Finance & Investments,3596.0,29.0,27.0,34.0,34.0,93.46,338.0,4.71,9.46,60.0,64.0,-16.0,31.0,-16.0,31.0,,,,0.0,866.0,1.14,80.87,1.0,5.0,885.0,0.0,0.93,2.19,360.0,12.24,61.33,174.36,0.34,9.31,12.24,9.44,17226.0,8120.0
Nagarjuna Fert.,Fertilizers,13.0,4765.0,-791.0,-1284.0,-1284.0,-16.6,-21.0,-106.02,-60.39,45.0,20.0,,,,,3.0,,,3004.0,-3003.0,0.12,-1.71,-625.0,299.0,1173.0,-2.34,-0.94,-1.42,770.0,0.16,17.15,6.45,,-4.51,0.16,-4.24,,
Nagpur Power,Mining / Minerals / Metals,133.0,0.0,-4.0,-0.0,-0.0,,-0.0,-0.05,1.46,,,,14.0,,14.0,,7.0,7.0,0.0,79.0,97.35,-4.0,19.0,0.0,79.0,-0.8,1.0,5.21,174.0,,-44.43,-79.93,,8679.0,,-4339.5,,
Nagreeka Cap.,Finance & Investments,29.0,63.0,33.0,13.0,13.0,52.93,11.0,32.37,16.39,79.0,-17.0,320.0,18.0,320.0,18.0,15.0,17.0,17.0,96.0,3.0,2.89,4.97,33.0,3.0,116.0,7.16,46.36,2.36,36.0,0.57,1.25,5.42,0.15,3.86,0.57,3.87,36.0,22.0
Nagreeka Exports,Textiles - Cotton/Blended,34.0,559.0,25.0,6.0,6.0,4.48,2.0,6.14,5.75,13.0,-2.0,40.0,15.0,40.0,15.0,-1.0,2.0,2.0,166.0,147.0,1.46,1.41,211.0,3.0,347.0,27.58,2.3,3.6,106.0,0.19,-47.42,6.87,1.2,10.39,0.19,14.47,27.0,45.0
Nahar Capital,Finance & Investments,317.0,24.0,-12.0,12.0,12.0,-49.25,7.0,1.25,10.24,-19.0,-0.0,-42.0,-14.0,-42.0,-14.0,,,,4.0,888.0,1.75,107.86,3.0,1.0,907.0,0.37,1.46,2.39,531.0,22.16,-49.47,-14.35,-3.21,33.0,22.16,35.27,173.0,290.0
Nahar Indl. Ent.,Textiles - Cotton/Blended,138.0,1472.0,57.0,11.0,10.0,3.85,2.0,3.09,9.64,1.0,-5.0,45.0,21.0,44.0,20.0,-2.0,-17.0,-17.0,532.0,961.0,1.58,1.47,760.0,7.0,1646.0,55.3,1.56,2.94,598.0,0.41,-8.42,6.18,2.6,12.85,0.41,26.85,63.0,106.0
Nahar Poly,Packaging,271.0,600.0,21.0,6.0,6.0,3.55,2.0,-0.04,6.45,26.0,18.0,-55.0,-14.0,-55.0,-14.0,,,,126.0,799.0,2.3,-0.03,89.0,1.0,959.0,22.16,1.21,3.06,666.0,1.15,41.47,-365.56,-8.61,25.52,1.15,-1992.76,108.0,130.0
Nahar Spinning,Textiles - Products,297.0,3050.0,84.0,-45.0,-51.0,2.74,-14.0,0.43,13.48,13.0,6.0,,,,,3.0,,,1151.0,1481.0,1.5,0.16,1518.0,2.0,2889.0,-22.53,1.82,3.02,1071.0,0.36,-2.75,52.78,,22.55,0.36,210.27,,
Nakoda Group,Food - Processing - Indian,44.0,47.0,0.0,-2.0,-2.0,0.83,-1.0,-1.81,5.69,15.0,-2.0,,,,,,,,18.0,19.0,1.63,-0.31,26.0,0.0,41.0,-8.62,2.12,5.56,78.0,1.64,265.53,27.97,,237.63,1.64,-139.78,,
Naksh Precious,Trading,9.0,0.0,-0.0,0.0,0.0,-4.08,0.0,-0.66,0.19,-4.0,-51.0,28.0,16.0,28.0,16.0,-29.0,-12.0,-38.0,0.0,6.0,11.1,,5.0,0.0,7.0,2.0,1.33,4.56,9.0,18.69,6.72,-4.71,19.09,-922.0,18.69,-184.4,1.0,2.0
Nalin Lease Fin.,Finance & Investments,46.0,7.0,5.0,4.0,4.0,70.72,6.0,17.21,15.84,11.0,8.0,15.0,17.0,15.0,2.0,8.0,19.0,11.0,4.0,32.0,1.18,13.02,0.0,0.0,37.0,1.12,1.07,3.16,30.0,4.53,26.6,20.31,0.45,5.92,4.53,6.09,98.0,80.0
Nalwa Sons Invst,Finance & Investments,4516.0,88.0,75.0,56.0,56.0,84.29,110.0,0.73,1.17,9.0,15.0,10.0,7.0,10.0,7.0,9.0,7.0,7.0,0.0,12605.0,486.65,473.06,83.0,37.0,14556.0,0.0,0.95,1.5,2321.0,26.54,56.59,45.04,6.14,30.49,26.54,30.5,12207.0,7778.0
Nam Securities,Finance & Investments,120.0,109.0,-0.0,0.0,0.0,-0.16,1.0,4.16,3.5,8.0,10.0,8.0,-4.0,8.0,-14.0,72.0,19.0,12.0,0.0,11.0,2.37,45.0,1.0,2.0,12.0,0.0,1.05,19.03,65.0,0.59,-31.76,-607.5,-52.01,116.89,0.59,140.27,10.0,17.0
Naman In-Store,Engineering,96.0,145.0,20.0,9.0,9.0,14.07,9.0,47.05,28.61,121.0,,514.0,,170.0,,,,,37.0,29.0,1.55,3.88,53.0,0.0,97.0,4.01,9.9,4.82,101.0,0.71,13.95,-21.9,,6.79,0.71,8.38,,
Nanavati Venture,Trading,50.0,26.0,-0.0,0.0,0.0,-0.08,0.0,3.31,2.49,32.0,116.0,21.0,,-23.0,,,,,0.0,19.0,170.38,,22.0,0.0,22.0,0.0,1.02,5.23,23.0,0.9,-1.74,-4.44,,76.87,0.9,82.36,130.0,21.0
Nandan Denim,Textiles - Products,48.0,2010.0,118.0,45.0,45.0,5.89,3.0,11.7,9.92,23.0,7.0,170.0,16.0,170.0,16.0,8.0,2.0,1.0,330.0,585.0,1.46,2.38,443.0,56.0,1182.0,7.34,2.09,4.09,689.0,0.34,2.99,5.59,0.94,6.3,0.34,8.58,32.0,53.0
Nandani Creation,Textiles - Products,49.0,45.0,4.0,1.0,1.0,9.53,0.0,6.39,6.87,-2.0,6.0,-31.0,-14.0,-34.0,-21.0,,,,25.0,30.0,2.36,1.22,44.0,0.0,70.0,46.29,1.97,3.43,56.0,1.24,-8.28,-9.26,-7.43,16.12,1.24,26.29,12.0,17.0
Naperol Invest.,Finance & Investments,1029.0,2.0,-1.0,-0.0,-0.0,-32.46,-1.0,-0.08,0.39,-80.0,-66.0,,,,,-38.0,,,0.0,1055.0,3.05,,9.0,2.0,1078.0,0.0,0.78,2.25,592.0,307.42,534.31,-301.24,,-960.11,307.42,-960.11,,
Narayana Hrudaya,Healthcare,1211.0,5018.0,1152.0,789.0,790.0,22.96,39.0,26.18,27.51,25.0,12.0,365.0,68.0,365.0,68.0,16.0,51.0,-21.0,1627.0,2884.0,1.75,10.17,1118.0,416.0,5625.0,2.06,1.7,9.47,24739.0,4.94,23.23,82.83,0.46,21.17,4.94,26.37,467.0,350.0
Narbada Gems,Diamond Cutting / Jewellery,56.0,84.0,9.0,5.0,5.0,10.33,2.0,11.66,11.13,30.0,16.0,36.0,29.0,22.0,11.0,18.0,28.0,12.0,24.0,50.0,2.63,4.91,69.0,0.0,77.0,4.82,1.61,5.89,118.0,1.41,24.13,-19.2,0.81,15.85,1.41,16.53,67.0,36.0
Narendra Prop.,Construction,43.0,19.0,2.0,2.0,2.0,11.54,3.0,8.16,-1.02,,,45.0,35.0,45.0,35.0,98.0,15.0,15.0,0.0,37.0,48.66,,24.0,7.0,38.0,0.0,1.0,4.18,31.0,1.64,-160.87,59.93,0.39,7.9,1.64,7.95,,61.0
Narmada Agrobase,Miscellaneous,23.0,50.0,3.0,1.0,1.0,5.07,1.0,8.79,7.54,-5.0,1.0,13.0,15.0,13.0,15.0,,,,10.0,17.0,2.24,2.41,23.0,1.0,28.0,9.49,1.64,5.63,31.0,0.61,24.59,76.24,1.94,15.16,0.61,17.0,9.0,15.0
Narmada Gelatine,Chemicals,385.0,182.0,23.0,15.0,15.0,12.54,25.0,22.23,15.8,10.0,8.0,40.0,18.0,40.0,18.0,3.0,0.0,0.0,0.0,101.0,6.41,71.97,73.0,17.0,119.0,0.0,1.23,7.09,233.0,1.25,16.39,27.36,0.84,8.65,1.25,10.12,262.0,309.0
Narmada Macplast,Plastics Products,17.0,2.0,-0.0,0.0,0.0,-8.84,0.0,1.4,1.32,-21.0,-27.0,,,,-32.0,,,,1.0,2.0,2.74,1.33,1.0,-0.0,3.0,,1.47,4.65,6.0,3.39,-16.91,-86.97,,112.83,3.39,169.25,,
Natco Pharma,Pharmaceuticals - Indian - Bulk Drugs & Formln,1215.0,3999.0,1751.0,1388.0,1388.0,43.8,78.0,30.05,17.21,25.0,14.0,49.0,17.0,50.0,18.0,18.0,30.0,29.0,371.0,5853.0,4.14,88.16,3417.0,953.0,6906.0,0.27,1.07,8.2,21766.0,5.43,17.92,46.97,0.92,11.24,5.43,12.48,734.0,755.0
Nath Bio-Genes,Miscellaneous,217.0,333.0,50.0,37.0,40.0,15.15,21.0,6.83,6.42,7.0,10.0,-13.0,-1.0,-13.0,-1.0,9.0,4.0,2.0,109.0,611.0,2.18,5.25,414.0,76.0,877.0,2.7,1.37,2.88,413.0,1.29,5.72,12.84,-12.93,9.03,1.29,9.65,319.0,391.0
Nath Industries,Paper,71.0,321.0,13.0,0.0,0.0,3.94,0.0,2.78,3.83,4.0,19.0,-68.0,-34.0,-68.0,-40.0,15.0,-15.0,-20.0,106.0,245.0,1.22,1.08,97.0,10.0,451.0,216.08,1.8,2.3,135.0,0.44,4.67,-6.86,-8.53,13.98,0.44,23.77,16.0,27.0
National Fitting,Castings & Forgings,132.0,77.0,11.0,6.0,6.0,14.71,6.0,12.39,8.78,14.0,6.0,56.0,16.0,56.0,16.0,8.0,6.0,5.0,15.0,59.0,1.44,7.31,24.0,11.0,88.0,2.63,1.5,4.69,120.0,1.59,12.28,58.44,1.34,9.9,1.59,13.59,58.0,97.0
National High,Construction,131.0,944.0,732.0,274.0,294.0,77.54,2.0,2.71,3.23,,,639.0,,,,,,,11734.0,14396.0,0.49,1.76,-424.0,469.0,27410.0,39.89,1.32,1.81,17190.0,18.21,21.36,-2.11,,38.39,18.21,57.66,114.0,74.0
National Plastic,Plastics Products,419.0,269.0,23.0,8.0,8.0,8.51,14.0,18.05,15.23,44.0,28.0,84.0,37.0,84.0,37.0,14.0,20.0,20.0,59.0,43.0,0.99,3.2,47.0,1.0,162.0,6.99,3.46,5.25,255.0,0.94,18.48,129.87,0.81,13.58,0.94,18.35,262.0,149.0
National Standar,Construction,4699.0,21.0,3.0,15.0,15.0,16.05,7.0,7.92,9.38,8.0,9.0,23.0,25.0,23.0,25.0,-15.0,-7.0,-7.0,0.0,259.0,30.89,,253.0,1.0,268.0,0.0,1.01,59.01,9398.0,439.78,-9589.8,1912.75,25.13,471.03,439.78,471.03,182.0,147.0
Natl. Aluminium,Aluminium and Aluminium Products,191.0,13149.0,2873.0,1762.0,2060.0,21.85,11.0,16.95,22.02,14.0,3.0,11.0,0.0,11.0,1.0,7.0,11.0,15.0,96.0,14572.0,1.93,137.94,2998.0,2575.0,19419.0,0.05,1.27,5.22,35015.0,2.68,12.94,32.66,58.71,10.47,2.68,13.78,120.0,142.0
Natl. Gen. Inds.,Steel - Medium / Small,78.0,13.0,-0.0,1.0,3.0,-3.67,5.0,4.98,1.68,-11.0,-6.0,54.0,79.0,54.0,79.0,-2.0,20.0,20.0,1.0,35.0,6.13,12.92,11.0,0.0,38.0,0.47,1.04,3.87,43.0,3.36,28.37,36.51,0.37,22.1,3.36,26.44,52.0,87.0
Natl. Oxygen,Chemicals,145.0,45.0,1.0,-3.0,-3.0,2.74,-6.0,-4.69,8.8,4.0,-0.0,,,,,6.0,3.0,4.0,29.0,-1.0,0.85,-0.97,4.0,0.0,34.0,-8.87,-34.51,4.65,73.0,1.58,73.3,20.59,,57.39,1.58,-62.81,,
Natl. Plastic,Plastics Products,68.0,98.0,10.0,2.0,2.0,10.2,2.0,10.37,9.58,9.0,-2.0,-17.0,-5.0,-17.0,-5.0,3.0,6.0,6.0,41.0,38.0,1.56,3.95,50.0,13.0,99.0,25.4,2.55,3.38,62.0,0.62,3.65,7.79,-6.53,8.33,0.62,11.11,25.0,41.0
Natl. Plywood,Miscellaneous,5.0,40.0,-4.0,-2.0,-2.0,-8.85,-1.0,,0.0,-9.0,-2.0,-44.0,28.0,,,10.0,2.0,,11.0,-9.0,0.73,-6.64,-6.0,0.0,28.0,15.19,-5.22,1.22,11.0,0.28,-0.8,-2.0,,-17.03,0.28,-15.05,,
Natl.Fertilizer,Fertilizers,136.0,23560.0,618.0,150.0,150.0,2.62,3.0,6.69,7.98,26.0,14.0,-14.0,-12.0,-14.0,-12.0,,,,4091.0,2554.0,0.98,1.65,3963.0,38.0,11206.0,27.26,4.65,3.92,6657.0,0.28,9.91,-13.45,-3.54,13.29,0.28,24.2,37.0,60.0
Natraj Proteins,Solvent Extraction,50.0,194.0,-9.0,-13.0,-13.0,-4.83,-33.0,3.63,9.83,-2.0,-6.0,28.0,-15.0,28.0,-15.0,-8.0,-24.0,-24.0,40.0,34.0,1.51,-3.22,60.0,1.0,78.0,56.45,1.78,4.01,19.0,0.1,6.61,4.2,,-6.41,0.1,-6.12,,
Natura Hue Chem,Miscellaneous,7.0,0.0,-0.0,0.0,0.0,-42.86,0.0,1.12,-0.13,0.0,18.0,30.0,43.0,30.0,43.0,-28.0,12.0,12.0,0.0,11.0,1.5,,0.0,0.0,11.0,2.08,1.03,1.91,3.0,48.86,-18.79,-3.54,0.66,30.5,48.86,30.5,8.0,13.0
Natural Biocon,Trading,11.0,14.0,0.0,0.0,0.0,1.7,0.0,1.85,1.54,370.0,98.0,,16.0,57.0,16.0,,,,0.0,12.0,1.23,,1.0,0.0,17.0,0.47,1.22,3.17,13.0,0.93,-105.45,146.01,5.11,54.3,0.93,54.3,12.0,6.0
Natural Capsules,Pharmaceuticals - Indian - Bulk Drugs & Formln,316.0,155.0,20.0,6.0,6.0,12.81,6.0,4.52,13.38,25.0,21.0,2.0,21.0,2.0,21.0,,,,109.0,204.0,1.62,2.57,88.0,13.0,377.0,19.64,1.46,2.83,295.0,1.9,-35.31,-4.13,2.54,17.92,1.9,29.71,265.0,171.0
Naturite Agro,Food - Processing - Indian,84.0,10.0,1.0,0.0,0.0,5.46,1.0,2.14,1.58,-9.0,16.0,-18.0,54.0,-18.0,54.0,12.0,4.0,4.0,3.0,13.0,1.97,10.0,8.0,0.0,20.0,8.86,1.67,5.44,44.0,4.65,8.31,-49.14,2.33,91.0,4.65,118.3,12.0,19.0
Naturo Indiabull,Trading,15.0,42.0,1.0,1.0,1.0,3.49,1.0,4.39,12.82,81.0,,10.0,74.0,-74.0,15.0,,,,12.0,30.0,1.71,17.43,48.0,0.0,92.0,12.27,1.19,2.08,29.0,0.68,-1.39,-2.12,0.39,23.85,0.68,33.23,37.0,15.0
Nava,Diversified - Large,758.0,3818.0,1719.0,866.0,1256.0,45.02,65.0,16.25,15.98,14.0,5.0,27.0,24.0,30.0,29.0,8.0,12.0,15.0,414.0,6909.0,5.04,5.6,2859.0,307.0,9698.0,0.33,1.51,4.08,10999.0,2.88,3.47,7.04,0.53,5.99,2.88,7.23,676.0,835.0
